open,high,low,close,volume,amount
11.17,11.18,11.17,11.18,371.0,414729.0
11.18,11.19,11.17,11.17,497.0,555470.0
11.18,11.19,11.17,11.18,1001.0,1118551.0
11.18,11.18,11.16,11.16,1411.0,1575333.0
11.16,11.19,11.16,11.16,2763.0,3086089.0
11.13,11.15,11.07,11.13,3450.0,3833838.0
11.13,11.15,11.13,11.14,1725.0,1920516.0
11.14,11.14,11.09,11.09,2419.0,2688742.0
11.09,11.11,11.07,11.08,2499.0,2771114.0
11.1,11.11,11.09,11.1,1985.0,2204227.0
11.11,11.11,11.08,11.08,661.0,733097.0
11.08,11.08,11.06,11.07,1747.0,1934268.0
11.08,11.1,11.08,11.1,1065.0,1180734.0
11.09,11.1,11.06,11.06,1017.0,1126598.0
11.07,11.08,11.04,11.06,3125.0,3457253.0
11.06,11.07,11.06,11.07,992.0,1097960.0
11.08,11.1,11.07,11.1,481.0,533086.0
11.09,11.1,11.08,11.09,320.0,354944.0
11.1,11.1,11.08,11.09,541.0,599728.0
11.09,11.09,11.08,11.09,251.0,278128.0
11.09,11.1,11.07,11.07,731.0,810352.0
11.08,11.08,11.05,11.05,1405.0,1554667.0
11.06,11.07,11.05,11.06,941.0,1040747.0
11.05,11.07,11.05,11.05,381.0,421282.0
11.06,11.06,11.04,11.05,781.0,862948.0
11.05,11.05,11.04,11.05,339.0,374531.0
11.06,11.06,11.02,11.03,2889.0,3187747.0
11.03,11.05,11.03,11.04,577.0,636955.0
11.04,11.05,11.02,11.03,1163.0,1282943.0
11.02,11.04,11.01,11.04,1011.0,1114505.0
11.04,11.04,11.0,11.01,1951.0,2149164.0
11.01,11.02,11.0,11.02,1587.0,1746325.0
11.02,11.02,11.0,11.0,833.0,916817.0
11.0,11.0,10.98,11.0,2833.0,3114174.0
10.99,10.99,10.97,10.99,2393.0,2627686.0
10.99,10.99,10.98,10.98,803.0,882552.0
10.98,11.0,10.98,11.0,1150.0,1263279.0
11.0,11.03,11.0,11.01,1019.0,1122062.0
11.02,11.03,11.0,11.03,710.0,782386.0
11.03,11.03,11.01,11.03,388.0,427694.0
11.01,11.02,11.01,11.02,100.0,110378.0
11.03,11.05,11.02,11.02,1151.0,1269851.0
11.03,11.03,11.0,11.01,840.0,925112.0
11.01,11.01,11.0,11.0,648.0,712856.0
11.0,11.01,10.99,11.0,691.0,760290.0
11.0,11.01,11.0,11.01,587.0,645966.0
11.01,11.02,11.0,11.01,659.0,725653.0
11.02,11.02,10.99,10.99,946.0,1040515.0
10.99,11.02,10.99,11.01,1963.0,2159046.0
10.99,11.01,10.99,11.01,626.0,688232.0
11.01,11.02,11.0,11.01,523.0,575829.0
11.01,11.02,11.0,11.01,637.0,701307.0
11.01,11.01,11.0,11.0,1376.0,1513737.0
10.98,11.01,10.95,10.98,2649.0,2907158.0
10.98,11.04,10.98,11.03,1901.0,2093535.0
11.03,11.05,11.02,11.05,738.0,814164.0
11.06,11.08,11.05,11.07,1639.0,1814054.0
11.07,11.08,11.03,11.07,1445.0,1598150.0
11.07,11.08,11.05,11.07,634.0,701575.0
11.06,11.09,11.05,11.09,1222.0,1353174.0
11.09,11.1,11.06,11.07,717.0,794627.0
11.07,11.08,11.05,11.06,487.0,538835.0
11.06,11.06,11.02,11.02,584.0,644683.0
11.03,11.05,11.02,11.05,979.0,1080786.0
11.05,11.06,11.04,11.06,1236.0,1365238.0
11.06,11.06,11.03,11.05,342.0,377693.0
11.05,11.06,11.04,11.06,461.0,509531.0
11.06,11.06,11.03,11.04,394.0,435047.0
11.04,11.05,11.03,11.05,505.0,557412.0
11.05,11.06,11.03,11.05,728.0,804172.0
11.05,11.05,11.03,11.04,275.0,303638.0
11.03,11.05,11.03,11.03,260.0,286971.0
